column,missing_count,missing_rate,status
checking_status,0,0.0,PASS
duration,0,0.0,PASS
credit_history,0,0.0,PASS
purpose,0,0.0,PASS
credit_amount,0,0.0,PASS
savings_status,0,0.0,PASS
employment,0,0.0,PASS
installment_commitment,0,0.0,PASS
personal_status,0,0.0,PASS
other_parties,0,0.0,PASS
residence_since,0,0.0,PASS
property_magnitude,0,0.0,PASS
age,0,0.0,PASS
other_payment_plans,0,0.0,PASS
housing,0,0.0,PASS
existing_credits,0,0.0,PASS
job,0,0.0,PASS
num_dependents,0,0.0,PASS
own_telephone,0,0.0,PASS
foreign_worker,0,0.0,PASS
default,0,0.0,PASS
